id,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365
746325775523502027,0.99,1,1125,1,2,1125,1125,2.0,1125.0,t,8,30,60,331
744289127230845511,0.99,6,365,6,6,365,365,6.0,365.0,t,28,58,88,363
746341936747901627,0.99,1,1125,1,2,1125,1125,2.0,1125.0,t,14,36,61,330
746342693076029716,0.99,1,1125,1,4,1125,1125,3.8,1125.0,t,0,23,41,312
744289210204318573,0.99,6,365,6,6,365,365,6.0,365.0,t,4,4,14,289
744312524167938021,0.99,6,365,6,6,365,365,6.0,365.0,t,29,59,89,364
744582588649661918,0.99,1,20,1,1,1125,1125,1.0,1125.0,t,0,0,0,17
744583798929154419,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,3,13,30,189
746377546898405802,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,0,23,53,328
744603561762354477,0.99,3,10,3,4,10,10,3.3,10.0,t,15,36,63,144
746730426815124236,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,21,31,50,317
744621420882676722,0.99,1,365,1,2,365,365,1.3,365.0,t,19,49,79,337
744662883004458870,0.99,28,364,4,28,364,364,27.5,364.0,t,4,22,35,281
746776317727696427,0.99,28,365,28,28,365,365,28.0,365.0,t,0,14,44,134
746782112561906680,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,11,22,22,22
746788616089432272,0.99,5,360,5,5,360,360,5.0,360.0,t,0,0,17,17
744669249932086265,0.99,3,1000,2,4,1000,1000,3.2,1000.0,t,6,29,59,77
746802997737578937,0.99,1,10,1,1,10,10,1.0,10.0,t,28,58,88,88
746831440872754013,0.99,60,365,60,60,365,365,60.0,365.0,t,30,60,90,365
744689499709043654,0.99,1,365,1,2,365,365,1.4,365.0,t,24,49,77,349
746853789473172342,0.99,2,365,1,1,99,99,1.0,99.0,t,0,0,0,0
746864038824156396,0.99,2,365,2,2,365,365,2.0,365.0,f,0,0,0,0
744725089393468780,0.99,3,365,3,3,365,365,3.0,365.0,t,14,41,53,272
744780913809727054,0.99,1,30,1,1,30,30,1.0,30.0,t,13,43,73,348
746938432352760419,0.99,2,365,2,7,365,365,4.6,365.0,t,30,60,90,90
746939545109757833,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,16,45,75,75
744781790233598871,0.99,2,31,2,2,1125,1125,2.0,1125.0,t,23,53,83,173
