host_id,host_name,host_response_rate,host_listings_count,host_total_listings_count
22168282,Concha,100%,1.0,1.0
351833151,Sharing,90%,0.0,0.0
4146355,Jerome,Desconocido,1.0,1.0
7702501,Miguel,Desconocido,1.0,1.0
46845753,Desconocido,Desconocido,18.48019980431536,18.48019980431536
44233425,Andrew,100%,1.0,1.0
5746574,Victor,91%,2.0,2.0
46902285,Patricia,91%,1.0,1.0
485862,Matilde,100%,2.0,2.0
46910088,Alejandra,Desconocido,1.0,1.0
14636546,Tomas,60%,1.0,1.0
44247859,Ana,100%,2.0,2.0
46991632,Alicia,Desconocido,1.0,1.0
16193294,Maria,Desconocido,1.0,1.0
793546,Sebastian,Desconocido,1.0,1.0
3939801,Juan,100%,6.0,6.0
47082983,Daniela & Cesar,100%,5.0,5.0
5700613,Andres,Desconocido,23.0,23.0
47196774,Magdalena,100%,1.0,1.0
16799632,Virginia,Desconocido,1.0,1.0
2932927,Mae,Desconocido,2.0,2.0
47332487,Irene,Desconocido,1.0,1.0
20437708,Ramón,100%,3.0,3.0
43172155,Jairo,100%,1.0,1.0
47398779,Belén Y Pablo,100%,2.0,2.0
47406181,Angeles,100%,2.0,2.0
23999609,Maximiliano,Desconocido,1.0,1.0
37427328,Tania,Desconocido,1.0,1.0
47540614,Sasha,50%,1.0,1.0
47548107,Petty,100%,1.0,1.0
47554470,Arnaldo,100%,35.0,35.0
43787660,Oscar,100%,1.0,1.0
26921472,Nuria,100%,1.0,1.0
44604616,Miguel,100%,1.0,1.0
47607603,Anabel,100%,4.0,4.0
47611007,Silvana,Desconocido,1.0,1.0
30629489,Alejandro,Desconocido,1.0,1.0
8097675,Gustavo,100%,0.0,0.0
9846285,Carlos,Desconocido,1.0,1.0
35141863,Carlos,90%,2.0,2.0
2249606,J-M Isabel,25%,2.0,2.0
14269367,Irene,Desconocido,1.0,1.0
33575562,Maria,Desconocido,1.0,1.0
5113561,Estela,100%,1.0,1.0
40877988,Raul,99%,76.0,76.0
17979672,Manuel,100%,3.0,3.0
10654631,Remi,Desconocido,1.0,1.0
13568612,David,100%,1.0,1.0
4835230,Teresa,100%,3.0,3.0
44860676,Julia Y Mª Teresa,Desconocido,1.0,1.0
31608532,Cesar,100%,5.0,5.0
45605026,Pablo,Desconocido,1.0,1.0
44939562,Michelle,Desconocido,1.0,1.0
43063704,Tom,100%,2.0,2.0
13471137,Roberto,0%,2.0,2.0
45069177,Luca,Desconocido,1.0,1.0
48007916,Ana,100%,2.0,2.0
3440242,Eduardo,Desconocido,1.0,1.0
2925707,Cristian,Desconocido,2.0,2.0
24080903,Claudia,Desconocido,1.0,1.0
45102439,(Email hidden by Airbnb),Desconocido,1.0,1.0
48219632,Pedro,100%,3.0,3.0
48327231,Juan Alfonso,100%,2.0,2.0
4032377,Jeremy,Desconocido,1.0,1.0
20111903,Sergio,89%,1.0,1.0
48385280,David,100%,1.0,1.0
14920069,Elena,Desconocido,1.0,1.0
48398877,María Jesús,100%,2.0,2.0
1899974,Helen & Martín,100%,1.0,1.0
34925981,Ambrus,Desconocido,1.0,1.0
48579433,Pablo,Desconocido,2.0,2.0
45059320,Isidoro,100%,0.0,0.0
8540658,Sandra,100%,1.0,1.0
48588027,Fátima,100%,1.0,1.0
48589704,Ignacio,100%,2.0,2.0
45424561,Manuel Y Patricia,100%,1.0,1.0
34808244,Paloma&Víctor,100%,1.0,1.0
48666465,Diana,Desconocido,1.0,1.0
