id,property_type,room_type,host_id,bedroom,beds,bathroom
34177679,Tiny home,Entire home/apt,51828290,1 bedroom,1 bed,1 bath
34179317,Entire rental unit,Entire home/apt,253700521,1 bedroom,2 beds,1 bath
34179535,Entire rental unit,Entire home/apt,184100810,1 bedroom,2 beds,1 bath
33804884,Private room in bed and breakfast,Private room,255229153,2 bedrooms,2 beds,2 baths
34198216,Private room in rental unit,Private room,258152050,1 bedrooms,1 beds,0 bathrooms
33807961,Private room in rental unit,Private room,94627983,1 bedroom,1 bed,1 shared bath
34198850,Entire rental unit,Entire home/apt,231647798,1 bedroom,2 beds,1 bath
33818982,Entire rental unit,Entire home/apt,244554938,Studio,1 bed,1 bath
34200558,Shared room in rental unit,Shared room,205331861,1 bedrooms,1 beds,0 bathrooms
33819563,Entire rental unit,Entire home/apt,51564174,1 bedroom,2 beds,1 bath
34202423,Private room in rental unit,Private room,258220451,Studio,1 bed,1 private bath
34221371,Entire rental unit,Entire home/apt,36655351,3 bedrooms,4 beds,2 baths
33820455,Private room in rental unit,Private room,62072827,1 bedrooms,1 beds,0 bathrooms
34223267,Entire rental unit,Entire home/apt,258372906,1 bedroom,2 beds,1 bath
34247579,Private room in rental unit,Private room,31218600,1 bedroom,1 bed,1 shared bath
33825328,Entire rental unit,Entire home/apt,5251436,1 bedroom,2 beds,1 bath
33825351,Entire home,Entire home/apt,251811508,1 bedroom,2 beds,1 bath
34263373,Entire rental unit,Entire home/apt,231442811,1 bedrooms,1 beds,0 bathrooms
33830004,Entire rental unit,Entire home/apt,186521332,2 bedrooms,2 beds,1 bath
34268737,Entire rental unit,Entire home/apt,42380961,1 bedroom,1 bed,1.5 baths
33834925,Entire rental unit,Entire home/apt,255463759,2 bedrooms,3 beds,1 bath
34269758,Entire rental unit,Entire home/apt,8244614,2 bedrooms,4 beds,1 bath
33838118,Entire rental unit,Entire home/apt,105708985,2 bedrooms,2 beds,2 baths
34277552,Entire rental unit,Entire home/apt,258789227,3 bedrooms,4 beds,2.5 baths
33841083,Entire rental unit,Entire home/apt,47398779,1 bedroom,1 bed,1 bath
34283037,Private room in chalet,Private room,569771,1 bedroom,1 bed,1 shared bath
33842562,Private room in rental unit,Private room,22397791,1 bedroom,2 beds,1 shared bath
34285181,Entire rental unit,Entire home/apt,165467697,1 bedroom,2 beds,1 bath
33845617,Entire condo,Entire home/apt,45621438,3 bedrooms,3 beds,2 baths
