id,host_id,rating,latitude,longitude
540937,2659070,★4.45,40.40954,-3.70096
294529,1522694,★4.46,40.42226,-3.69959
544736,1284868,★4.77,40.45841,-3.67598
297017,4677030,★4.25,40.41414,-3.69419
310333,1596220,★4.65,40.40908,-3.69514
336672,1716726,★4.78,40.39516,-3.69309
336834,1713427,★4.61,40.42242,-3.69562
548995,2673517,★4.94,40.419,-3.67774
339144,1721158,★4.88,40.42838,-3.70345
339171,1722284,★4.88,40.41285,-3.69553
341939,1694537,★4.68,40.41037,-3.70018
552183,2713304,★4.85,40.41309,-3.69775
342095,1703448,★4.78,40.41015,-3.69797
345249,1751133,★4.39,40.47148,-3.68946
558690,2747005,★4.61,40.42274,-3.66972
347510,1751133,★4.41,40.42881,-3.66605
560941,596469,★4.57,40.42297,-3.69095
354838,1496188,★4.73,40.4249,-3.7097
695909,3021792,★4.63,40.4256,-3.70436
565152,2779192,★4.35,40.40683,-3.69932
696928,3569462,★4.24,40.43003,-3.67429
566241,2785251,★4.85,40.40913,-3.699
704155,3606346,★4.72,40.41389,-3.70461
568190,2795931,★4.88,40.41016,-3.72863
570158,2347489,★4.55,40.447,-3.70291
708275,2785251,★3.60,40.44374,-3.68161
572048,1689652,★ New,40.42993,-3.70339
576487,2312712,★4.74,40.4739,-3.57583
588382,2902269,★4.50,40.41151,-3.70257
709208,3648882,★4.81,40.41697,-3.70732
588518,2267893,★4.94,40.4158,-3.70962
710156,3654886,★4.87,40.45319,-3.592383
590710,2913511,★4.85,40.36725,-3.68875
716292,3691303,★4.65,40.42616,-3.70263
594298,153391,★4.66,40.41906,-3.70627
717313,3698406,★4.90,40.41222,-3.71365
598771,2678039,★4.84,40.40661,-3.6952
599134,1567773,★4.57,40.41596,-3.70846
721377,3724500,★4.88,40.50069,-3.68994
604150,2990747,★ New,40.4312,-3.68502
723088,2555202,★4.78,40.42536,-3.69887
724700,3746437,★4.43,40.4107,-3.70253
604632,2993477,★4.34,40.457,-3.70436
727588,498646,★4.26,40.39368,-3.66975
605339,2783896,★4.87,40.40743,-3.74293
728978,1566057,★4.75,40.41212,-3.69983
607548,3010452,★0.0,40.39366,-3.66535
730347,3797913,★4.79,40.41534,-3.70757
608742,3017315,★4.75,40.41744,-3.70873
730502,3797913,★4.82,40.41826,-3.71244
733365,3821608,★4.92,40.43653,-3.70421
610675,2174652,★5.0,40.41769,-3.69974
616027,3053021,★4.84,40.43922,-3.67574
734053,3825783,★5.0,40.41731,-3.6731
618576,3017315,★4.83,40.41771,-3.70925
745664,3591751,★4.79,40.40449,-3.70463
745744,3797913,★4.29,40.43698,-3.711
625566,2773350,★4.64,40.40349,-3.70418
747873,1625657,★4.89,40.42329,-3.70833
631737,3141727,★ New,40.47143,-3.6748
748854,1888816,★4.62,40.40333,-3.7025
643471,3290138,★4.56,40.41256,-3.70373
749957,124972,★4.97,40.42796,-3.72054
750257,130907,★4.26,40.42057,-3.70486
751527,3951702,★4.99,40.42482,-3.71084
644656,3226403,★5.0,40.42432,-3.6399
655514,3226403,★4.75,40.42432,-3.6399
751530,3898452,★4.86,40.41429,-3.70649
661255,3338284,★4.68,40.41048049926758,-3.7063961029052734
752424,216570,★4.51,40.40687,-3.70917
663761,3352121,★4.50,40.37093,-3.62298
752515,3438657,★4.72,40.41233,-3.70641
668753,3385307,★4.85,40.43287,-3.7007
752883,3960415,★ New,40.40788,-3.73147
754678,3961468,★4.83,40.41382,-3.69514
676566,3317937,★4.81,40.40222,-3.68096
755587,3898452,★4.90,40.41497,-3.70853
758670,2536524,★4.74,40.4267,-3.61631
683208,9228673,★4.83,40.43189,-3.67793
760482,4008643,★4.77,40.45989,-3.69472
683969,3487329,★ New,40.37609,-3.74279
761098,4012305,★4.44,40.44655,-3.58128
761159,4012290,★4.92,40.41399,-3.70776
684564,1941314,★4.72,40.41747,-3.70979
763214,4032439,★4.77,40.40789,-3.71404
685152,3494012,★4.27,40.4696,-3.65012
766160,4036376,★4.43,40.41189,-3.70107
688795,1732442,★4.76,40.41584,-3.70683
689099,3357259,★4.64,40.47444,-3.67135
768311,4053105,★4.82,40.41166,-3.71007
772646,3606346,★4.74,40.41403,-3.70453
